label,id,genus,species,species_reference,lifestyle,habitat_reference,terrane,country,province,locality,site,siteN,type_locality,latitude,longitude,elevation,SIA,BDNF,NXC1,CYTB,ND4,tiplabsite
ABTC116941-Oreophryne_A_graminis,ABTC116941,Oreophryne A,graminis,Gunther & Richards 2012,scansorial,,fold,Papua New Guinea,Western Province,Mueller Range,Apalu Reke,7,,-5.4862,142.3019,NA,MZ634561,MZ634797,MZ635032,MZ635269,MZ647717,ABTC116941-Oreophryne_A_graminis-Apalu_Reke-Mueller_Range
BJE1120-Oreophryne_A_senckenbergiana,BJE1120,Oreophryne A,senckenbergiana ,Peters & Doria 1878,arboreal,,notpng,Indonesia,North Maluku Province,Halmahera,Seki Village,,,1.9138889,128.032222222222,NA,,,,,,
BJE1143-Oreophryne_frontifasciata,BJE1143,Oreophryne A,frontifasciata,Horst 1883,arboreal,,notpng,Indonesia,North Maluku Province,Halmahera,Mamuya Village,,,1.8927778,128.0025,NA,,,,,,
BJE1144-Oreophryne_frontifasciata,BJE1144,Oreophryne A,frontifasciata,Horst 1884,arboreal,,notpng,Indonesia,North Maluku Province,Halmahera,Mamuya Village,,,1.8927778,128.0025,NA,,,,,,
BJE1248-Oreophryne_frontifasciata,BJE1248,Oreophryne A,frontifasciata,Horst 1885,arboreal,,notpng,Indonesia,North Maluku Province,Halmahera,Lolobata,,,1.0061111,128.005,NA,,,,,,
BPBM16217-Oreophryne_A_inornata,BPBM16217,Oreophryne A,inornata,Zweifel 1956,arboreal,Zweifel 1956,dentrecasteaux,Papua New Guinea,Milne Bay Province,Fergusson Island,East Slope Mt. Kilkerran,61,,-9.46045,150.7846,1330,MZ634687,MZ634923,MZ635158,MZ635395,MZ647838,BPBM16217-Oreophryne_A_inornata-East_Slope_Mt._Kilkerran-Fergusson_Island
BPBM16554-Oreophryne_A_philosylleptoris,BPBM16554,Oreophryne A,philosylleptoris,Kraus 2016,arboreal,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Saidowai,62,"near type locality; Sibonai, 10.0315° S, 150.9781° (AoW)",-9.9637333,150.95455,0,MZ634595,MZ634831,MZ635066,MZ635303,MZ647749,BPBM16554-Oreophryne_A_philosylleptoris-Saidowai-Normanby_Island
BPBM18002-Oreophryne_A_sp.7,BPBM18002,Oreophryne A,sp.7,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Simpson Massif,Bunisi,54,,-10.01709,149.6,1420,MZ634725,MZ634961,MZ635196,MZ635432,MZ647875,BPBM18002-Oreophryne_A_sp.7-Bunisi-Mt._Simpson_Massif
BPBM18509-Oreophryne_A_lemur,BPBM18509,Oreophryne A,lemur,Kraus 2016,arboreal,Kraus 2016,epct,Papua New Guinea,Central Province,Ivane Valley,Woitape,33,type locality,-8.45682,147.26199,1620,MZ634654,MZ634890,MZ635125,MZ635362,MZ647805,BPBM18509-Oreophryne_A_lemur-Woitape-Ivane_Valley
BPBM18510-Oreophryne_A_cf._geislerorum.1,BPBM18510,Oreophryne A,cf. geislerorum.1,Menzies et al. 1980,arboreal,AA field notes,epct,Papua New Guinea,Morobe Province,Mt. Shungol,Camp 1,25,,-6.81625,146.6915333,750,MZ634685,MZ634921,MZ635156,MZ635393,MZ647836,BPBM18510-Oreophryne_A_cf._geislerorum.1-Camp_1-Mt._Shungol
BPBM19371-Oreophryne_A_sp.4,BPBM19371,Oreophryne A,sp.4,,arboreal,,epct,Papua New Guinea,Central Province,Mt. Obree,Siruohu,42,,-9.4433876,148.0081743,1600,MZ634635,MZ634871,MZ635106,MZ635343,MZ647787,BPBM19371-Oreophryne_A_sp.4-Siruohu-Mt._Obree
BPBM20522-Oreophryne_A_aurora,BPBM20522,Oreophryne A,aurora,Kraus 2016,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Damunu Rest House,74,type locality,-11.3650362,154.0013736,20,MZ634608,MZ634844,MZ635079,MZ635316,MZ647761,BPBM20522-Oreophryne_A_aurora-Damunu_Rest_House-Rossel_Island
BPBM22511-Oreophryne_A_brachypus,BPBM22511,Oreophryne A,brachypus,Tyler 1964,arboreal,AA field notes,newbritain,Papua New Guinea,East New Britain Province,New Britain,Marmar,67,,-5.4473,151.46307,892.5,MZ634684,MZ634920,MZ635155,MZ635392,MZ647835,BPBM22511-Oreophryne_A_brachypus-Marmar-New_Britain
BPBM22539-Oreophryne_A_loriae,BPBM22539,Oreophryne A,loriae,Van Kampen 1919,arboreal,,epct,Papua New Guinea,Central Province,Mt. Vorivori Massif,Site 1,38,"near type locality; ""Moroka"" (AoW)",-9.44953,147.62562,380,MZ634689,MZ634925,MZ635160,MZ635397,MZ647840,BPBM22539-Oreophryne_A_loriae-Site_1-Mt._Vorivori_Massif
